id,owner_id,owner,explanation_text,completed,target_name,type,target_assigned_role,target_special_role
63,126,Zobmies,Превратите всех людей на станции в зомби.,FAIL,"",/datum/objective/turn_into_zombie,"",""
64,136,Revolution,"Capture, convert or exile from station Koudi Cooper, the Research Director. Assassinate if you have no choice.",FAIL,Koudi Cooper,/datum/objective/target/rp_rev,Research Director,""
65,136,Revolution,"Capture, convert or exile from station Daniel Mildred, the Head of Personnel. Assassinate if you have no choice.",SUCCESS,Daniel Mildred,/datum/objective/target/rp_rev,Head of Personnel,""
66,136,Revolution,"Capture, convert or exile from station Cassian Winton, the Chief Medical Officer. Assassinate if you have no choice.",HALF,Cassian Winton,/datum/objective/target/rp_rev,Chief Medical Officer,""
67,136,Revolution,"Capture, convert or exile from station Jose Butterfill, the Chief Engineer. Assassinate if you have no choice.",HALF,Jose Butterfill,/datum/objective/target/rp_rev,Chief Engineer,""
68,136,Revolution,"Capture, convert or exile from station Lia Paterson, the Head of Security. Assassinate if you have no choice.",FAIL,Lia Paterson,/datum/objective/target/rp_rev,Head of Security,""
69,138,Revolution,"Capture, convert or exile from station Jose Butterfill, the Chief Engineer. Assassinate if you have no choice.",FAIL,Jose Butterfill,/datum/objective/target/rp_rev,Chief Engineer,""
70,138,Revolution,"Capture, convert or exile from station Louis Whiteman, the Captain. Assassinate if you have no choice.",FAIL,Louis Whiteman,/datum/objective/target/rp_rev,Captain,""
71,138,Revolution,"Capture, convert or exile from station Liam O'Shea, the Chief Medical Officer. Assassinate if you have no choice.",FAIL,Liam O'Shea,/datum/objective/target/rp_rev,Chief Medical Officer,""
72,138,Revolution,"Capture, convert or exile from station Brayden Riker, the Head of Personnel. Assassinate if you have no choice.",FAIL,Brayden Riker,/datum/objective/target/rp_rev,Head of Personnel,""
73,140,Vox Shoal,We are lacking in hardware. Steal a complete particle accelerator (6 components).,SUCCESS,"",/datum/objective/heist/loot,"",""
74,140,Vox Shoal,Ransack the station and escape with 30 plasteel.,SUCCESS,"",/datum/objective/heist/salvage,"",""
75,140,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
76,140,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
77,142,Vox Shoal,"The Shoal has a need for Max Russell, the Station Engineer. Take them alive.",SUCCESS,Max Russell,/datum/objective/target/kidnap,Station Engineer,""
78,142,Vox Shoal,We are lacking in hardware. Steal four emitters.,SUCCESS,"",/datum/objective/heist/loot,"",""
79,142,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
80,142,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
81,158,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 1000 station tiles.,SUCCESS,"",/datum/objective/blob_takeover,"",""
82,164,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
83,165,Abductor Team,Experiment on 6 humans.,SUCCESS,"",/datum/objective/experiment,"",""
84,166,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
85,183,Vox Shoal,"The Shoal has a need for M'ark M'rshan, the Roboticist. Take them alive.",FAIL,M'ark M'rshan,/datum/objective/target/kidnap,Roboticist,""
86,183,Vox Shoal,Ransack the station and escape with 50 plasteel.,FAIL,"",/datum/objective/heist/salvage,"",""
87,183,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
88,183,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
89,185,Vox Shoal,"The Shoal has a need for Dante Virt, the Roboticist. Take them alive.",SUCCESS,Dante Virt,/datum/objective/target/kidnap,Roboticist,""
90,185,Vox Shoal,Ransack the station and escape with 200 metal.,SUCCESS,"",/datum/objective/heist/salvage,"",""
91,185,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
92,185,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
93,204,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
94,208,Vox Shoal,Ransack the station and escape with 150 glass.,SUCCESS,"",/datum/objective/heist/salvage,"",""
95,208,Vox Shoal,We are lacking in hardware. Steal a complete particle accelerator (6 components).,SUCCESS,"",/datum/objective/heist/loot,"",""
96,208,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
97,208,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
98,223,Zobmies,Превратите всех людей на станции в зомби.,FAIL,"",/datum/objective/turn_into_zombie,"",""
99,224,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
100,230,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 500 station tiles.,FAIL,"",/datum/objective/blob_takeover,"",""
101,242,Vox Shoal,Ransack the station and escape with 200 glass.,SUCCESS,"",/datum/objective/heist/salvage,"",""
102,242,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
103,242,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
104,244,Vox Shoal,We are lacking in hardware. Steal four emitters.,SUCCESS,"",/datum/objective/heist/loot,"",""
105,244,Vox Shoal,"The Shoal has a need for M'ark M'rshan, the Roboticist. Take them alive.",SUCCESS,M'ark M'rshan,/datum/objective/target/kidnap,Roboticist,""
106,244,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
107,244,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
108,248,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
109,249,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
110,253,Revolution,"Capture, convert or exile from station Robert Liech, the Head of Personnel. Assassinate if you have no choice.",SUCCESS,Robert Liech,/datum/objective/target/rp_rev,Head of Personnel,""
111,268,Abductor Team,Experiment on 6 humans.,SUCCESS,"",/datum/objective/experiment,"",""
112,269,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
113,279,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
114,283,Vox Shoal,We are lacking in hardware. Steal a complete particle accelerator (6 components).,FAIL,"",/datum/objective/heist/loot,"",""
115,283,Vox Shoal,"The Shoal has a need for Devon Black, the Roboticist. Take them alive.",FAIL,Devon Black,/datum/objective/target/kidnap,Roboticist,""
116,283,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
117,283,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
118,285,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
119,287,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
120,288,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
121,310,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 500 station tiles.,SUCCESS,"",/datum/objective/blob_takeover,"",""
122,320,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 500 station tiles.,SUCCESS,"",/datum/objective/blob_takeover,"",""
123,323,Vox Shoal,We are lacking in hardware. Steal four emitters.,SUCCESS,"",/datum/objective/heist/loot,"",""
124,323,Vox Shoal,Ransack the station and escape with 150 metal.,SUCCESS,"",/datum/objective/heist/salvage,"",""
125,323,Vox Shoal,"The Shoal has a need for Aramsha Jarmack, the Roboticist. Take them alive.",FAIL,Aramsha Jarmack,/datum/objective/target/kidnap,Roboticist,""
126,323,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
127,323,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
128,325,Vox Shoal,"The Shoal has a need for Devon Black, the Roboticist. Take them alive.",FAIL,Devon Black,/datum/objective/target/kidnap,Roboticist,""
129,325,Vox Shoal,Ransack the station and escape with 150 glass.,SUCCESS,"",/datum/objective/heist/salvage,"",""
130,325,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
131,325,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
132,327,Revolution,"Capture, convert or exile from station Johnathan Armstrong, the Head of Personnel. Assassinate if you have no choice.",HALF,Johnathan Armstrong,/datum/objective/target/rp_rev,Head of Personnel,""
133,327,Revolution,"Capture, convert or exile from station Drill Gnoos, the Chief Medical Officer. Assassinate if you have no choice.",SUCCESS,Drill Gnoos,/datum/objective/target/rp_rev,Chief Medical Officer,Revolutionary
134,327,Revolution,"Capture, convert or exile from station Sharon Nash, the Captain. Assassinate if you have no choice.",SUCCESS,Sharon Nash,/datum/objective/target/rp_rev,Captain,Revolutionary
135,327,Revolution,"Capture, convert or exile from station Sigma O'Neill, the Research Director. Assassinate if you have no choice.",SUCCESS,Sigma O'Neill,/datum/objective/target/rp_rev,Research Director,Revolutionary
136,335,Revolution,"Capture, convert or exile from station Werner Von Schmidt, the Head of Personnel. Assassinate if you have no choice.",FAIL,Werner Von Schmidt,/datum/objective/target/rp_rev,Head of Personnel,""
137,343,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
138,345,Vox Shoal,We are lacking in hardware. Steal a nuclear bomb.,FAIL,"",/datum/objective/heist/loot,"",""
139,345,Vox Shoal,Ransack the station and escape with 50 plasteel.,FAIL,"",/datum/objective/heist/salvage,"",""
140,345,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
141,345,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
142,366,Vox Shoal,Ransack the station and escape with 30 plasteel.,FAIL,"",/datum/objective/heist/salvage,"",""
143,366,Vox Shoal,"The Shoal has a need for Georg Selinof, the Medical Doctor. Take them alive.",FAIL,Georg Selinof,/datum/objective/target/kidnap,Medical Doctor,""
144,366,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
145,366,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,FAIL,"",/datum/objective/heist/inviolate_death,"",""
146,372,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
147,374,Cult Of Blood,"Убедитесь, что хотя бы 4 культиста улетят на шаттле, чтобы продолжить исследования на других станциях.",SUCCESS,"",/datum/objective/cult/recruit,"",""
148,374,Cult Of Blood,Захватите не менее 4 отсеков станции с помощью руны захвата зон.,SUCCESS,"",/datum/objective/cult/capture_areas,"",""
149,387,Cult Of Blood,Призовите Нар-Си с помощью ритуала с пьедесталами на станции.,FAIL,"",/datum/objective/cult/summon_narsie,"",""
150,387,Cult Of Blood,"Принесите в жертву Johan Richards, Head of Security.",FAIL,Johan Richards,/datum/objective/target/sacrifice,Head of Security,""
151,387,Cult Of Blood,Захватите не менее 4 отсеков станции с помощью руны захвата зон.,SUCCESS,"",/datum/objective/cult/capture_areas,"",""
152,393,Cult Of Blood,"Убедитесь, что хотя бы 4 культиста улетят на шаттле, чтобы продолжить исследования на других станциях.",FAIL,"",/datum/objective/cult/recruit,"",""
153,393,Cult Of Blood,"Принесите в жертву Silver Eyes, Botanist.",FAIL,Silver Eyes,/datum/objective/target/sacrifice,Botanist,""
154,393,Cult Of Blood,Призовите Нар-Си с помощью ритуала с пьедесталами на станции.,FAIL,"",/datum/objective/cult/summon_narsie,"",""
155,395,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 500 station tiles.,SUCCESS,"",/datum/objective/blob_takeover,"",""
156,398,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 1000 station tiles.,FAIL,"",/datum/objective/blob_takeover,"",""
157,404,Vox Shoal,"The Shoal has a need for Ulric Parker, the Roboticist. Take them alive.",FAIL,Ulric Parker,/datum/objective/target/kidnap,Roboticist,""
158,404,Vox Shoal,Ransack the station and escape with 150 metal.,FAIL,"",/datum/objective/heist/salvage,"",""
159,404,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
160,404,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
161,411,Revolution,"Capture, convert or exile from station Patrick Kimball, the Captain. Assassinate if you have no choice.",SUCCESS,Patrick Kimball,/datum/objective/target/rp_rev,Captain,Revolutionary
162,411,Revolution,"Capture, convert or exile from station Dante Virt, the Chief Medical Officer. Assassinate if you have no choice.",SUCCESS,Dante Virt,/datum/objective/target/rp_rev,Chief Medical Officer,Revolutionary
163,411,Revolution,"Capture, convert or exile from station Chloe Price, the Head of Personnel. Assassinate if you have no choice.",HALF,Chloe Price,/datum/objective/target/rp_rev,Head of Personnel,""
164,415,Emergency Response Team,Help the station crew,SUCCESS,"",/datum/objective/custom,"",""
165,418,Syndicate Operatives,Destroy the station with a nuclear device.,SUCCESS,"",/datum/objective/nuclear,"",""
166,420,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
167,422,Emergency Response Team,Help the station crew,SUCCESS,"",/datum/objective/custom,"",""
168,423,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
169,425,Vox Shoal,Ransack the station and escape with 30 plasteel.,SUCCESS,"",/datum/objective/heist/salvage,"",""
170,425,Vox Shoal,"The Shoal has a need for Jayden Fisher, the Station Engineer. Take them alive.",SUCCESS,Jayden Fisher,/datum/objective/target/kidnap,Station Engineer,""
171,425,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
172,425,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
173,427,Vox Shoal,Ransack the station and escape with 200 glass.,SUCCESS,"",/datum/objective/heist/salvage,"",""
174,427,Vox Shoal,"The Shoal has a need for Anna Belko, the Chemist. Take them alive.",SUCCESS,Anna Belko,/datum/objective/target/kidnap,Chemist,""
175,427,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
176,427,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
177,431,Revolution,"Capture, convert or exile from station Troy Orgail, the Captain. Assassinate if you have no choice.",HALF,Troy Orgail,/datum/objective/target/rp_rev,Captain,""
178,431,Revolution,"Capture, convert or exile from station Curly Mens, the Chief Medical Officer. Assassinate if you have no choice.",SUCCESS,Curly Mens,/datum/objective/target/rp_rev,Chief Medical Officer,""
179,431,Revolution,"Capture, convert or exile from station Calvin Wilson, the Head of Security. Assassinate if you have no choice.",FAIL,Calvin Wilson,/datum/objective/target/rp_rev,Head of Security,""
180,434,Cult Of Blood,"Убедитесь, что хотя бы 6 культистов улетят на шаттле, чтобы продолжить исследования на других станциях.",SUCCESS,"",/datum/objective/cult/recruit,"",""
181,434,Cult Of Blood,Призовите Нар-Си с помощью ритуала с пьедесталами на станции.,SUCCESS,"",/datum/objective/cult/summon_narsie,"",""
182,438,Abductor Team,Experiment on 6 humans.,SUCCESS,"",/datum/objective/experiment,"",""
183,440,Vox Shoal,Ransack the station and escape with 200 glass.,FAIL,"",/datum/objective/heist/salvage,"",""
184,440,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
185,440,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
186,443,Alien Hivemind,Улей должен жить и размножаться. Ваша численность должна превосходить экипаж станции в 1.9 раз.,SUCCESS,"",/datum/objective/reproduct,"",""
187,449,Vox Shoal,We are lacking in hardware. Steal an ion rifle.,FAIL,"",/datum/objective/heist/loot,"",""
188,449,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
189,449,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,FAIL,"",/datum/objective/heist/inviolate_death,"",""
190,451,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
191,452,Abductor Team,Experiment on 6 humans.,SUCCESS,"",/datum/objective/experiment,"",""
192,458,Vox Shoal,We are lacking in hardware. Steal four energy guns.,FAIL,"",/datum/objective/heist/loot,"",""
193,458,Vox Shoal,"The Shoal has a need for Thomas Geller, the Medical Doctor. Take them alive.",FAIL,Thomas Geller,/datum/objective/target/kidnap,Medical Doctor,""
194,458,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
195,458,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
196,460,Revolution,"Capture, convert or exile from station Curly Mens, the Research Director. Assassinate if you have no choice.",SUCCESS,Curly Mens,/datum/objective/target/rp_rev,Research Director,""
197,460,Revolution,"Capture, convert or exile from station Jhin Handa, the Captain. Assassinate if you have no choice.",SUCCESS,Jhin Handa,/datum/objective/target/rp_rev,Captain,""
198,460,Revolution,"Capture, convert or exile from station Cassian Winton, the Chief Medical Officer. Assassinate if you have no choice.",SUCCESS,Cassian Winton,/datum/objective/target/rp_rev,Chief Medical Officer,""
199,460,Revolution,"Capture, convert or exile from station Cole Clewett, the Head of Personnel. Assassinate if you have no choice.",HALF,Cole Clewett,/datum/objective/target/rp_rev,Head of Personnel,""
200,460,Revolution,"Capture, convert or exile from station Titana Katon, the Chief Engineer. Assassinate if you have no choice.",FAIL,Titana Katon,/datum/objective/target/rp_rev,Chief Engineer,""
201,460,Revolution,"Capture, convert or exile from station Bailey Patel, the Head of Security. Assassinate if you have no choice.",SUCCESS,Bailey Patel,/datum/objective/target/rp_rev,Head of Security,""
202,468,Alien Hivemind,Улей должен жить и размножаться. Ваша численность должна превосходить экипаж станции в 1.9 раз.,SUCCESS,"",/datum/objective/reproduct,"",""
203,470,Abductor Team,Experiment on 6 humans.,SUCCESS,"",/datum/objective/experiment,"",""
204,471,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
205,476,Cult Of Blood,"Принесите в жертву Andrew Lennix, Security Officer.",FAIL,Andrew Lennix,/datum/objective/target/sacrifice,Security Officer,""
206,476,Cult Of Blood,Призовите Нар-Си с помощью ритуала с пьедесталами на станции.,FAIL,"",/datum/objective/cult/summon_narsie,"",""
