id,root_id,time,title,content,author,type
45,49275,02:22,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
46,49280,01:35,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
47,49280,01:45,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
48,49280,01:48,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
1733,49434,00:01,Оповещение от ИИ,"Gramm приветсвует экипаж станции и сообщает, что в ассистентской произошла драка из за мультитула.",Gramm,station
1734,49434,00:04,Оповещение Центрального Командования,Подтвержден 5 уровень биологической угрозы на борту КСН Исход. Персонал должен предотвратить распространение заражения. Активирован протокол изоляции экипажа станции.,"",centcomm
1736,49434,00:05,Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
1737,49434,00:07,Оповещение от ИИ,Внимание! Блоб проник в хранилище газов. Риск утечки форона.,Gramm,station
1738,49434,00:07,Приоритетное Оповещение,Второй блоб в кабинете ГП,"",station
49,49281,00:01,Приоритетное Оповещение,"Приветствую экипаж, датчики в третий режим. Объявлен набор в ряды СБ и карго, желающие подойдите к стойке ГП. Удачной смены!","",station
50,49281,00:15,Приоритетное Оповещение,"Визитер, прибывший на станцию, предлагаю тебе спокойно обсудить цель твоего визита на станцию в бриге, стрелять мы в тебя не будем.","",station
51,49281,00:15,Оповещение от ИИ,Искусственный Интеллект загружен и готов к выполнению запросов экипажа,W.S.D.S,station
52,49281,00:20,Оповещение от ИИ,"В ботанике стартует продвинутая клонификация. Запись очная. Также доступны услуги выращивания живого шарфика с ВАШИМ ИМЕНЕМ, его можно носить в сумочке или на голове. Не тяжёлый. ВСЁ БЕСПЛАТНО ПЕРВЫМ 5-ТИ ЖЕЛАЮЩИМ!",W.S.D.S,station
1739,49434,00:08,Оповещение от ИИ,"Обнаружен второй блоб, местоположение: центральное хранилище",Gramm,station
1740,49434,00:10,Оповещение от ИИ,"Утечка форона из хранилища газов, вероятность пожара 92%",Gramm,station
1741,49434,00:11,Оповещение от ИИ,"Пожар в РНД, форон загорелся.",Gramm,station
5384,49770,02:08,Приоритетное Оповещение,Эвакуационный Шаттл был вызван. Он прибудет через 10 минут.,"",station
5385,49770,02:08,Приоритетное Оповещение,Был аннулирован доступ на все технические туннели.,"",station
53,49281,00:29,Приоритетное Оповещение,"Требуются грузчики и КМ, желающие к стойке ГП!","",station
54,49281,00:34,Оповещение Центрального Командования,Подтвержден 7 уровень биологической угрозы на борту КСН Исход. Персонал должен предотвратить распространение заражения.,"",centcomm
55,49281,00:48,Оповещение от ИИ,W.S.D.S  Рекомендует включить датчики в третий режим это поможет медперсоналу и службе безопасности,W.S.D.S,station
56,49281,01:02,Оповещение Центрального Командования,Обнаружены метеоры на траектории столкновения со станцией. Генератор энергетического поля выключен или отсутствует.,"",centcomm
57,49281,01:04,Оповещение Центрального Командования,Станция прошла метеорный шторм.,"",centcomm
58,49281,01:07,Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
59,49281,01:15,Приоритетное Оповещение,"Станции требуются шахтеры и грузчики, желающие к ГП","",station
60,49281,01:24,Внимание! Код безопасности понижен до Зеленого.,"Непосредственные или явные угрозы для станции отсутствуют. Служба безопасности обязана спрятать оружие, а также уважать личное право и пространство персонала, несанкционированные обыски запрещены.","",station
61,49281,01:27,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
62,49281,01:37,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
63,49281,01:40,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
1742,49434,00:14,"","<font face=""Verdana"" color=""black""><center><font size=""4""><b>КСН &#34;Исход&#34;</b><br>Отчет Агента Внутренних Дел</font></center><br><hr>Полное имя Агента: <span class=""paper_field""><font face=""Verdana"" color=""red"">Амос Бест</font></span><br>Субъект/интересующий инцидент под вопросом: <span class=""paper_field""><font face=""Verdana"" color=""red"">- - -</font></span><br>Инцидент: <span class=""paper_field""><font face=""Verdana"" color=""red"">Научный отдел был подвергнут заражению организмом &#34;Блоб&#34;.</font></span><br>Местоположение: <span class=""paper_field""><font face=""Verdana"" color=""red"">Токсинная.</font></span><br>Персонал, вовлеченные в инцидент: <span class=""paper_field""><font face=""Verdana"" color=""red"">Весь персонал научного отдела</font></span><br><hr><b>Изложение фактов:</b><br><span class=""paper_field""><font face=""Verdana"" color=""red"">В научном отделе в одной из лабораторий появился опасный организм &#34;Блоб&#34;. Он постепенно размножается, это может привести к полному уничтожению станции. В том случае, если СБ не будут справляться с угрозой, весь персонал станции нужно эвакуировать. На данный момент  эффективность работы станции ухудшается.</font><font face=""Verdana"" color=""red"">12:16 - В научном отделе загорелся летучий и легковоспломеняющийся газ &#34;Форон&#34;.</font></span><br><hr>Агент: <span class=""sign_field""><font face=""Verdana"" color=""red""><font face=""Times New Roman""><i>Amos Best</i></font> </font></span><br><hr>Место для штампов.</font>
<div style=""margin-top:20px;""><font size=""5""><div style=""border-color:black;color:black;display:inline;border-width:5px;border-style:double;padding:3px"">Internal Affairs</div></font></div>",Amos Best,fax-station
64,49282,01:34,Оповещение Центрального Командования,На сканерах дальнего действия обнаружена гравитационная аномалия. Ожидаемое местоположение: Chapel.,"",centcomm
65,49282,02:21,Оповещение Центрального Командования,"На борту КСН Исход обнаружен неконтролируемый брендовый интеллект, приготовьтесь.","",centcomm
66,49282,05:13,Оповещение Центрального Командования,"Биосканеры зафиксировали размножение ящериц, местоположение: церковь. Избавьтесь от них, пока они не начали влиять на производительность.","",centcomm
67,49282,06:07,Оповещение Центрального Командования,"Что, нахрен, это было?!","",centcomm
68,49282,06:31,Оповещение Центрального Командования,Обнаружен вредный грибок на станции. Структура станции может быть заражена.,"",centcomm
69,49282,06:43,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
70,49282,06:53,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
115,49285,01:27,Приоритетное Оповещение,Эвакуационный Шаттл пристыковался к станции. У вас есть 3 минуты для посадки.,"",station
1743,49434,00:15,Оповещение от ИИ,"Согласно расчетам ИИ, вероятность уничтожение блобов ниже 3%",Gramm,station
1744,49434,00:19,Оповещение от ИИ,В районе центрального хранилища обнаружено крупное скопление мобильных единиц подконтрольных блобу.,Gramm,station
1745,49434,00:22,Оповещение от ИИ,"Спасение станции невозможно, ИИ рекомендует органикам отсупление на астеройд.",Gramm,station
1746,49434,00:25,Оповещение от ИИ,"Внимание, телепорт откалиброван на прибытие, телепортная переведена на  общий доступ.",Gramm,station
71,49282,06:56,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
72,49283,00:13,Оповещение Центрального Командования,"Биосканеры зафиксировали размножение мышей, местоположение: центральное хранилище. Избавьтесь от них, пока они не начали влиять на производительность.","",centcomm
73,49283,00:42,Оповещение Центрального Командования,"На борту КСН Исход обнаружен неконтролируемый брендовый интеллект, приготовьтесь.","",centcomm
74,49283,01:41,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
75,49283,01:51,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
76,49283,01:54,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
77,49284,00:00,Оповещение от ИИ,ИИ загружен в систему. ИИ Alpha приветствует экипаж,Alpha,station
78,49284,00:02,Приоритетное Оповещение,"Доброе утро. Если все отделы будут работать очень усердно, и если вы захотите, можем закончить смену на 15 - 20 минут раньше. Посмотрим. Е-хо-хо и бутылка рома, да, я пират.","",station
79,49284,00:07,Оповещение из Кабинета Главврача,"Датцики в 3 режим, иначе сами себя лецить будите.","",station
80,49284,00:12,Оповещение Центрального Командования,"Внимание, КСН Исход, неподалёку от вашей станции проходит корабль не отвечающий на наши запросы. По последним данным, этот корабль принадлежит Торговой Конфедерации.","",centcomm
81,49284,00:18,Приоритетное Оповещение,"Агент синдиката был разодран на куски, превращен в пыль. Только кости да лежат перед мостиком. Ух.","",station
83,49284,00:23,Оповещение от ИИ,Персоналу станции не рекомендую передвигаться по техническим тунелям,Alpha,station
84,49284,00:23,Приоритетное Оповещение,Кристаллы в техах ксенобиологии и карго. Гражданским не приблежаться.,"",station
1748,49435,00:29,Оповещение от ИИ,Искин загружен в станционное ядро,Malificient,station
1749,49435,00:38,Оповещение из Кабинета ГП,"ГП работает, по всем вопросам на ПДА","",station
1750,49435,00:44,Оповещение Центрального Командования,"#4нд%;ф4у6,>ďż˝%-БЗЗЗЗЗЗЗТ","",centcomm
1751,49435,01:00,Оповещение Центрального Командования,"Биосканеры зафиксировали размножение ящериц, местоположение: атмосферный отдел. Избавьтесь от них, пока они не начали влиять на производительность.","",centcomm
1752,49435,01:06,Оповещение из Кабинета ДИР,"РД на связи, я сделала для вас дед алармы, берите","",station
1753,49435,01:27,Оповещение Центрального Командования,На сканерах дальнего действия зафиксирована вихревая аномалия. Ожидаемое местоположение: Chemistry.,"",centcomm
1754,49435,01:36,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
1755,49435,01:46,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
2468,49506,"",Оповещение Центрального Командования,"Биосканеры зафиксировали размножение пауков, местоположение: библиотека. Избавьтесь от них, пока они не начали влиять на производительность.","",centcomm
2469,49506,"",Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
2470,49506,"",Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
2471,49506,"",Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
5386,49770,02:17,Оповещение Центрального Командования,"Обнаружены неопознанные формы жизни на КСН Исход. Обезопасьте внешние доступы, включая трубопровод и вентиляцию.","",centcomm
5387,49770,02:18,Приоритетное Оповещение,Эвакуационный Шаттл пристыковался к станции. У вас есть 3 минуты для посадки.,"",station
3776,49621,01:55,Приоритетное Оповещение,Был аннулирован доступ на все технические туннели.,"",station
7623,50003,01:33,Приоритетное Оповещение,"Кто то имитирует голоса, ИИ, ГСБ и других членов экипажа не обращяйте внимание.","",station
82,49284,00:22,Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
85,49284,00:34,Приоритетное Оповещение,"Воксы, сдавайтесь. Если вы не будете оказывать сопротивление, то тогда останитесь невредимы","",station
86,49284,00:36,Оповещение Центрального Командования,Подтвержден 7 уровень биологической угрозы на борту КСН Исход. Персонал должен предотвратить распространение заражения.,"",centcomm
87,49284,00:44,Приоритетное Оповещение,"Воксы, повторяем последний раз, сдавайтесь! Иначе мы начнем применять очень грубую силу! Двое ваших уже пойманы","",station
88,49284,00:47,Приоритетное Оповещение,"Всему экипажу и воксам. Я, капитан Теодор заключил сделку с одним из воксов: Воксы улетают, мы получаем 2500 кредитов. История закончена. Сейчас прошу последнего вокса остановиться сопротивляться, и готовиться лететь к себе домой.","",station
89,49284,00:55,Оповещение Центрального Командования,Ионносферная аномалия обнар'фЗ\кг5_0-БЗЗЗЗЗТ,"",centcomm
90,49284,01:02,Приоритетное Оповещение,"Воксы которые на своем корабле. Выходите на связь, будем общаться. Я получил кредиты, теперь хочу избавиться от ваших братьев которые у нас в бриге. Мы готовы отпустить их, если вы скажете где ваш корабль, и не выходя из самого корабля, дадите закинуть ваших товарищей на борт.","",station
91,49284,01:06,"","<font face=""Verdana"" color=""black"">Приветсвую ЦК. ГП и СМО требуют одного сотрудника ОБР-уборщика для быстрого очищения станции. Причина: зажравшиеся тестовики и уборщик не хотят работать за огромные деньги</font><font face=""Verdana"" color=""black""><font face=""Times New Roman""><i>Archie Moore</i></font></font>
",Archie Moore,fax-station
92,49284,01:19,Оповещение Центрального Командования,"Ваши гости улетают, КСН Исход. Они движутся слишком быстро, что бы мы могли навестись на них. Похоже, они покидают систему Tay Кита без оглядки.","",centcomm
1756,49435,01:48,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
93,49285,00:01,Оповещение от ИИ,"C.A.S.S.I.E начинает работу. экипаж, переведите датчики в третий режим работы для минимазации потерь среди экипажа. конец сообщения. станционное время: двенадцать ноль пять",C.A.S.S.I.E,station
94,49285,00:03,Оповещение от ИИ,"ВНИМАНИЕ, ВАЖНОЕ СООБЩЕНИЕ: МИМ ГОВОРИТ. язык: неизвестен",C.A.S.S.I.E,station
95,49285,00:05,Оповещение из Кабинета ГП,"В ботанике открывается новая генетика. Всем желающим получить домашнего питомца, который станет вашей полноценной копией - милости просим. Пока он будет маленьким, его можно будет носить в сумочке, на шее или на голове. Не тяжёлый, без запаха, а главное: первым 5-ти клиентам БЕСПЛАТНО.","",station
96,49285,00:06,Оповещение от ИИ,ПРИМЕЧАНИЕ: использование дионей во взрослом возрасте как домашних животных запрещено правами разумного существа,C.A.S.S.I.E,station
97,49285,00:11,Оповещение от ИИ,"ВНИМАНИЕ, КСЕНОМОРФЫ. ВИРУСОЛОГИЯ",C.A.S.S.I.E,station
116,49285,01:27,Приоритетное Оповещение,Спасибо ИИ и сотрудникам за помощь оказанную против ксеноугрозы. НТ гордится вами!,"",station
5388,49770,02:21,Приоритетное Оповещение,Эвакуационный Шаттл покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
5389,49771,00:06,Приоритетное Оповещение,"Спокойно, ЦК опять тестит новое сверх сехретное оружие и промохнулось прям по нашему бармену... Чтож поделать.","",station
5390,49771,00:09,Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
8233,50117,00:30,Оповещение от ИИ,до конца вашей жизни осталось 2 минуты,YAMI,station
